SID,DOB,DOT,Age,Sex,Location,Experimenter,Language,Exclude,Exclude_reason,Knower_level,Condition,Task,Trial_number,Task_item,Response,Correct,Counting/Number language,Notes
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,IDENTICAL/NONIDENTICAL,Give_N,12,NA,,HELP,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,IDENTICAL/NONIDENTICAL,Give_N,13,NA,,HELP,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,IDENTICAL/NONIDENTICAL,Give_N,14,NA,,HELP,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,ChangeMe,ChangeMe,English,0,,ChangeMe,IDENTICAL/NONIDENTICAL,Give_N,15,NA,,HELP,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Parallel,Training,1,12,0,0,Gave foodback to show correct data 
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Parallel,Training,2,13,0,0,Gave foodback to show correct data 
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Parallel,1,3,3,1,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Parallel,2,4,5,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Parallel,3,10,14,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Parallel,4,8,9,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Parallel,5,6,7,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Orthogonal,Training,1,1,1,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Orthogonal,Training,2,2,1,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Orthogonal,1,4,5,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Orthogonal,2,3,3,1,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Orthogonal,3,8,10,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Orthogonal,4,10,14,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Orthogonal,5,6,7,0,0,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,How Many,NA,Score,3,NA,NA,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,How Many,NA,Num_counted_to,7,0,NA,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,How Many,NA,Answer_how_many,7,0,NA,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,How Many,NA,Num_objects_correctly_counted,7,NA,NA,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Highest count,NA,Raw_string,1...30,NA,NA,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Highest count,NA,Highest_count,30,NA,NA,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,1,3,3,1,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,2,4,4,1,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,3,5,5,1,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,4,6,10,0,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,5,5,5,1,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,6,6,6,1,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,7,6,5,0,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,8,5,5,1,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,9,NA,NA,NA,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,10,NA,NA,NA,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,11,NA,NA,NA,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,12,NA,NA,NA,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,13,NA,NA,NA,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,14,NA,NA,NA,,
011519-MG,1/27/14,1/15/19,4.966461328,F,Saint Michaels ,AP,English,1,exp. error on How Many,4,IDENTICAL,Give_N,15,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Parallel,Training,1,1,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Parallel,Training,2,2,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Parallel,1,3,3,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Parallel,2,4,4,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Parallel,3,10,11,0,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Parallel,4,8,8,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Parallel,5,6,6,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Orthogonal,Training,1,1,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Orthogonal,Training,2,2,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Orthogonal,1,4,4,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Orthogonal,2,3,3,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Orthogonal,3,8,10,0,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Orthogonal,4,10,11,0,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Orthogonal,5,6,6,1,0,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,How Many,NA,Score,3,NA,NA,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,How Many,NA,Num_counted_to,6,0,NA,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,How Many,NA,Answer_how_many,6,0,NA,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,How Many,NA,Num_objects_correctly_counted,6,NA,NA,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Highest count,NA,Raw_string,1...20,NA,NA,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Highest count,NA,Highest_count,20,NA,NA,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,1,3,3,1,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,2,4,4,1,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,3,5,5,1,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,4,6,6,1,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,5,9,9,1,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,6,7,7,1,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,7,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,8,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,9,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,10,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,11,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,12,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,13,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,14,NA,NA,NA,,
011519-O,6/7/14,1/15/2019,4.607802875,M,Saint Michaels ,AP,English,1,exp. error on How Many,CP,IDENTICAL,Give_N,15,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Parallel,Training,1,15,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Parallel,Training,2,2,1,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Parallel,1,3,3,1,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Parallel,2,4,5,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Parallel,3,10,12,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Parallel,4,8,11,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Parallel,5,6,7,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Orthogonal,Training,1,1,1,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Orthogonal,Training,2,2,1,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Orthogonal,1,4,7,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Orthogonal,2,3,3,1,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Orthogonal,3,8,15,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Orthogonal,4,10,15,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Orthogonal,5,6,11,0,0,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,How Many,NA,Score,NA,NA,NA,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,How Many,NA,Num_counted_to,NA,0,NA,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,How Many,NA,Answer_how_many,4,0,NA,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,How Many,NA,Num_objects_correctly_counted,NA,NA,NA,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Highest count,NA,Raw_string,"1-14, 16, 17, 19, 22, 27",NA,NA,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Highest count,NA,Highest_count,14,NA,NA,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,1,3,10,0,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,2,2,2,1,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,3,3,10,0,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,4,2,2,1,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,5,3,10,0,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,6,2,2,1,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,7,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,8,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,9,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,10,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,11,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,12,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,13,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,14,NA,NA,NA,,
011519-TS,3/20/2015,1/15/2019,3.82477755,M,Saint Michaels ,AP,English,1,exp. error on How Many,2,IDENTICAL,Give_N,15,NA,NA,NA,,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Parallel,Training,1,1,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Parallel,Training,2,2,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Parallel,1,3,3,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Parallel,2,4,4,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Parallel,3,10,10,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Parallel,4,8,9,0,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Parallel,5,6,5,0,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Orthogonal,Training,1,1,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Orthogonal,Training,2,2,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Orthogonal,1,4,4,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Orthogonal,2,3,3,1,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Orthogonal,3,8,10,0,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Orthogonal,4,10,12,0,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,Orthogonal,5,6,11,0,0,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,How Many,NA,Score,3,NA,NA,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,How Many,NA,Num_counted_to,10,1,NA,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,How Many,NA,Answer_how_many,10,1,NA,
011519-AS,12/9/2014,1/15/2019,4.101300479,M,Saint Michaels ,RMS,English,0,,CP,NONIDENTICAL,How Many,NA,Num_objects_correctly_counted,10,NA,NA,
